"","occurenceId","sourceTaxonName","targetTaxonName","interactionTypeName","localityContinent","localityCountry","roostCat1"
"10920","McClureEtal1967-o924","Hipposideros galiterus ","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
"10921","McClureEtal1967-o925","Hipposideros armiger ","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
"10922","McClureEtal1967-o926","Hipposideros diadema ","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
"10923","McClureEtal1967-o927","Myotis mystacinus","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
"10924","McClureEtal1967-o928","Taphozous melanopogon ","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
"10925","McClureEtal1967-o929","Eonycteris spelaea","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
"10926","McClureEtal1967-o93","Rhinolophus affinis","Lygosoma scotophilum","cohabitates with","Asia","Malaysia",""
"10927","McClureEtal1967-o930","Rhinolophus affinis","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10928","McClureEtal1967-o931","Rhinolophus luctus ","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10929","McClureEtal1967-o932","Hipposideros bicolor","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10930","McClureEtal1967-o933","Hipposideros galiterus ","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10931","McClureEtal1967-o934","Hipposideros armiger ","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10932","McClureEtal1967-o935","Hipposideros diadema ","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10933","McClureEtal1967-o936","Myotis mystacinus","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10934","McClureEtal1967-o937","Taphozous melanopogon ","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10935","McClureEtal1967-o938","Eonycteris spelaea","Pheidole javana","cohabitates with","Asia","Malaysia",""
"10936","McClureEtal1967-o939","Rhinolophus affinis","hunting ants","cohabitates with","Asia","Malaysia",""
"10937","McClureEtal1967-o94","Rhinolophus luctus ","Lygosoma scotophilum","cohabitates with","Asia","Malaysia",""
"10938","McClureEtal1967-o940","Rhinolophus luctus ","hunting ants","cohabitates with","Asia","Malaysia",""
"10939","McClureEtal1967-o941","Hipposideros bicolor","hunting ants","cohabitates with","Asia","Malaysia",""
"10940","McClureEtal1967-o942","Hipposideros galiterus ","hunting ants","cohabitates with","Asia","Malaysia",""
"10941","McClureEtal1967-o943","Hipposideros armiger ","hunting ants","cohabitates with","Asia","Malaysia",""
"10942","McClureEtal1967-o944","Hipposideros diadema ","hunting ants","cohabitates with","Asia","Malaysia",""
"10943","McClureEtal1967-o945","Myotis mystacinus","hunting ants","cohabitates with","Asia","Malaysia",""
"10944","McClureEtal1967-o946","Taphozous melanopogon ","hunting ants","cohabitates with","Asia","Malaysia",""
"10945","McClureEtal1967-o947","Eonycteris spelaea","hunting ants","cohabitates with","Asia","Malaysia",""
"10946","McClureEtal1967-o948","Rhinolophus affinis","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10947","McClureEtal1967-o949","Rhinolophus luctus ","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10948","McClureEtal1967-o95","Hipposideros bicolor","Lygosoma scotophilum","cohabitates with","Asia","Malaysia",""
"10949","McClureEtal1967-o950","Hipposideros bicolor","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10950","McClureEtal1967-o951","Hipposideros galiterus ","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10951","McClureEtal1967-o952","Hipposideros armiger ","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10952","McClureEtal1967-o953","Hipposideros diadema ","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10953","McClureEtal1967-o954","Myotis mystacinus","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10954","McClureEtal1967-o955","Taphozous melanopogon ","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10955","McClureEtal1967-o956","Eonycteris spelaea","Dichogaster. sp.","cohabitates with","Asia","Malaysia",""
"10956","McClureEtal1967-o957","Rhinolophus affinis","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10957","McClureEtal1967-o958","Rhinolophus luctus ","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10958","McClureEtal1967-o959","Hipposideros bicolor","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10959","McClureEtal1967-o96","Hipposideros galiterus ","Lygosoma scotophilum","cohabitates with","Asia","Malaysia",""
"10960","McClureEtal1967-o960","Hipposideros galiterus ","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10961","McClureEtal1967-o961","Hipposideros armiger ","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10962","McClureEtal1967-o962","Hipposideros diadema ","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10963","McClureEtal1967-o963","Myotis mystacinus","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10964","McClureEtal1967-o964","Taphozous melanopogon ","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10965","McClureEtal1967-o965","Eonycteris spelaea","Dichogaster bolavi ","cohabitates with","Asia","Malaysia",""
"10966","McClureEtal1967-o966","Rhinolophus affinis","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10967","McClureEtal1967-o967","Rhinolophus luctus ","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10968","McClureEtal1967-o968","Hipposideros bicolor","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10969","McClureEtal1967-o969","Hipposideros galiterus ","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10970","McClureEtal1967-o97","Hipposideros armiger ","Lygosoma scotophilum","cohabitates with","Asia","Malaysia",""
"10971","McClureEtal1967-o970","Hipposideros armiger ","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10972","McClureEtal1967-o971","Hipposideros diadema ","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10973","McClureEtal1967-o972","Myotis mystacinus","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10974","McClureEtal1967-o973","Taphozous melanopogon ","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10975","McClureEtal1967-o974","Eonycteris spelaea","Cryptocheiridium lucifugum","cohabitates with","Asia","Malaysia",""
"10976","McClureEtal1967-o975","Rhinolophus affinis","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10977","McClureEtal1967-o976","Rhinolophus luctus ","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10978","McClureEtal1967-o977","Hipposideros bicolor","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10979","McClureEtal1967-o978","Hipposideros galiterus ","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10980","McClureEtal1967-o979","Hipposideros armiger ","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10981","McClureEtal1967-o98","Hipposideros diadema ","Lygosoma scotophilum","cohabitates with","Asia","Malaysia",""
"10982","McClureEtal1967-o980","Hipposideros diadema ","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10983","McClureEtal1967-o981","Myotis mystacinus","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10984","McClureEtal1967-o982","Taphozous melanopogon ","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10985","McClureEtal1967-o983","Eonycteris spelaea","Dhanus sumatranus","cohabitates with","Asia","Malaysia",""
"10986","McClureEtal1967-o984","Rhinolophus affinis","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10987","McClureEtal1967-o985","Rhinolophus luctus ","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10988","McClureEtal1967-o986","Hipposideros bicolor","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10989","McClureEtal1967-o987","Hipposideros galiterus ","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10990","McClureEtal1967-o988","Hipposideros armiger ","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10991","McClureEtal1967-o989","Hipposideros diadema ","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10992","McClureEtal1967-o99","Eonycteris spelaea","Lygosoma scotophilum","cohabitates with","Asia","Malaysia",""
"10993","McClureEtal1967-o990","Myotis mystacinus","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10994","McClureEtal1967-o991","Taphozous melanopogon ","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10995","McClureEtal1967-o992","Eonycteris spelaea","Dhanus doveri ","cohabitates with","Asia","Malaysia",""
"10996","McClureEtal1967-o993","Rhinolophus affinis"," Psiluderces crinitus","cohabitates with","Asia","Malaysia",""
"10997","McClureEtal1967-o994","Rhinolophus luctus "," Psiluderces crinitus","cohabitates with","Asia","Malaysia",""
"10998","McClureEtal1967-o995","Hipposideros bicolor"," Psiluderces crinitus","cohabitates with","Asia","Malaysia",""
"10999","McClureEtal1967-o996","Hipposideros galiterus "," Psiluderces crinitus","cohabitates with","Asia","Malaysia",""
"11000","McClureEtal1967-o997","Hipposideros armiger "," Psiluderces crinitus","cohabitates with","Asia","Malaysia",""
"11001","McClureEtal1967-o998","Hipposideros diadema "," Psiluderces crinitus","cohabitates with","Asia","Malaysia",""
"11002","McClureEtal1967-o999","Myotis mystacinus"," Psiluderces crinitus","cohabitates with","Asia","Malaysia",""
"11003","McClureEtal1967-p1","Hipposideros ","Ornithodorus batuensis","parasitized by","Asia","Malaysia",""
"11004","McClureEtal1967-p2","Eonycteris spelaea","Ornithodorus batuensis","parasitized by","Asia","Malaysia",""
