referenceFileName,TaxonName,bat,trophic,roost,#N/A,usageKey_gbif,scientificName_gbif,rank_gbif,status_gbif,confidence_gbif,matchType_gbif,kingdom_gbif,phylum_gbif,order_gbif,family_gbif,genus_gbif,kingdomKey_gbif,phylumKey_gbif,classKey_gbif,orderKey_gbif,familyKey_gbif,genusKey_gbif,synonym_gbif,class_gbif,species_gbif,speciesKey_gbif,acceptedUsageKey_gbif,phylum_Expert,class_Expert,order_Expert,family_Expert,genus_Expert,species_Expert,canonicalName_Expert,authorship_Expert,scientificName_normalized_GBIF,key_GBIF,TaxonMatch_GBIF,confidence_GBIF,status_GBIF,rank_GBIF,kingdom_GBIF,phylum_GBIF,class_GBIF,order_GBIF,family_GBIF,genus_GBIF,species_GBIF,canonicalName_GBIF,authorship_GBIF,scientificName_normalized_Expert,key_GBIF
Alvarez_1963,Artibeus aztecus,yes,NA,NA,NA,2433261,"Artibeus aztecus K.Andersen, 1906",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus aztecus,2433261,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Artibeus cinereus,yes,NA,NA,NA,2433267,"Artibeus cinereus (Gervais, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus cinereus,2433267,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Handley_1976,Artibeus cinereus,yes,NA,NA,NA,2433267,"Artibeus cinereus (Gervais, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus cinereus,2433267,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Foster_Timm_1976,Artibeus cinereus,yes,NA,NA,NA,2433267,"Artibeus cinereus (Gervais, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus cinereus,2433267,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Artibeus cinereus,yes,NA,NA,NA,2433267,"Artibeus cinereus (Gervais, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus cinereus,2433267,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Dominique_1993,Artibeus cinereus,yes,NA,NA,NA,2433267,"Artibeus cinereus (Gervais, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus cinereus,2433267,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Foster_1992,Artibeus cinereus,yes,NA,NA,NA,2433267,"Artibeus cinereus (Gervais, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus cinereus,2433267,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Foster_1992,Artibeus glaucus,yes,NA,NA,NA,2433262,"Artibeus glaucus Thomas, 1893",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus glaucus,2433262,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Dominique_1993,Artibeus gnomus,yes,NA,NA,NA,4265331,"Artibeus gnomus Handley, 1987",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus gnomus,4265331,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Foster_1992,Artibeus gnomus,yes,NA,NA,NA,4265331,"Artibeus gnomus Handley, 1987",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,Artibeus gnomus,4265331,NA,,,,,,,,,,,,,,,,,,,,,,,,,
